Address_US,Freq,last_update,Web,Gender,Address_RES,Purchase,Spending
1,1,3517,0,0,0,0,0
1,1,890,0,1,0,0,0
0,1,42,0,0,1,0,0
0,1,772,0,0,0,1,80
1,2,2194,0,0,1,1,161
0,2,1141,0,1,0,1,208
1,1,3011,0,1,0,1,80
1,2,2080,1,0,1,1,35
1,0,3507,0,0,0,0,0
1,1,1968,1,1,0,0,0
1,1,962,0,0,0,1,141
1,1,2212,0,0,0,0,0
1,1,2648,1,1,0,1,130
1,2,1415,0,1,1,0,0
1,2,1758,1,1,0,1,167
1,1,2383,0,1,0,0,0
0,1,814,1,1,0,1,172
1,1,58,1,0,0,1,99
0,0,3528,1,1,0,0,0
1,1,2960,0,0,0,1,130
1,2,1882,1,0,0,1,210
1,0,2737,0,1,1,0,0
1,2,2163,0,0,0,1,107
0,1,1683,0,0,0,1,85
1,6,800,1,1,0,1,1294
1,2,304,1,0,0,1,303
1,4,1134,1,0,0,1,271
1,1,1361,0,0,0,1,1250
1,2,1204,0,0,0,1,81
1,1,4065,0,0,0,1,32
1,0,616,1,0,1,0,0
1,1,1415,0,1,1,0,0
0,0,2705,0,1,0,0,0
1,1,107,1,1,0,1,129
0,2,2009,0,1,0,1,163
1,1,833,0,1,0,0,0
0,3,1086,0,1,1,1,135
1,4,1879,0,0,0,1,164
1,0,744,1,0,0,0,0
1,2,1786,1,0,0,1,95
1,4,1129,0,0,0,1,280
1,2,1899,0,0,1,1,166
1,0,301,0,1,0,0,0
1,1,1162,1,0,1,1,164
1,0,2735,0,1,0,0,0
1,1,2478,0,0,0,1,136
1,1,7,0,1,0,1,129
0,2,1130,0,0,0,1,309
0,0,1035,1,1,1,0,0
1,2,2891,1,0,1,1,143
1,1,2599,1,0,0,1,130
0,3,1415,0,1,1,0,0
1,2,1120,1,1,0,1,200
1,1,833,0,1,0,0,0
0,3,283,0,0,0,1,405
1,2,1752,1,1,0,0,0
1,1,3025,1,0,0,1,153
1,2,1175,0,0,0,1,44
1,2,3791,1,1,0,1,88
0,1,2767,1,0,0,1,124
1,1,1690,0,0,0,1,90
1,1,1666,0,0,0,1,165
0,1,2793,1,0,0,1,170
1,1,512,0,0,1,0,0
1,0,3914,0,0,0,0,0
1,1,1290,0,0,0,1,112
0,1,1626,0,0,0,1,165
1,1,1968,1,0,0,1,255
1,1,2305,1,0,0,1,60
1,0,1505,0,1,0,0,0
1,4,526,1,0,1,1,427
1,0,3394,0,1,0,0,0
1,1,1991,0,1,0,1,261
0,1,3453,0,1,0,0,0
0,1,408,0,0,1,1,188
1,1,2102,1,1,0,1,161
1,4,2100,0,1,0,1,204
0,3,3398,1,0,0,1,192
0,2,3479,0,0,1,1,189
1,0,441,1,1,0,0,0
1,2,520,1,1,0,1,212
1,2,2194,0,1,1,1,30
1,2,217,1,1,0,0,0
1,0,3401,0,1,0,0,0
1,2,1582,1,0,1,1,3
1,1,2380,1,1,0,0,0
1,0,3522,0,0,0,0,0
1,1,868,1,0,0,0,0
1,1,2758,1,0,0,1,161
1,3,2481,1,1,0,1,619
1,0,3522,0,0,0,0,0
1,0,2943,0,1,0,0,0
1,1,2404,0,1,0,1,114
1,1,2278,1,1,0,0,0
1,0,1710,1,0,0,0,0
1,1,833,0,0,0,0,0
1,1,2529,0,0,0,0,0
1,1,868,0,1,0,0,0
1,2,916,1,0,1,1,43
1,0,2539,0,1,0,0,0
1,1,2299,0,1,0,0,0
1,1,1864,0,0,0,1,30
0,2,295,0,0,0,1,164
1,2,1128,0,1,0,1,248
1,4,492,1,1,1,1,139
1,1,3334,0,1,0,0,0
1,1,2962,1,1,0,1,96
1,1,4157,0,1,0,1,98
1,1,891,1,1,0,1,81
1,3,2065,0,1,0,1,197
1,1,1346,0,1,1,0,0
1,2,2054,1,1,0,1,25
0,3,1134,0,0,1,1,314
1,1,2831,1,1,0,0,0
1,2,681,0,0,1,0,0
1,1,3185,0,1,1,0,0
1,1,3548,0,0,0,0,0
1,0,304,0,1,1,0,0
1,2,3382,0,0,0,0,0
0,3,841,1,1,1,1,50
1,0,2744,1,0,0,0,0
0,1,2073,0,0,0,0,0
1,2,3655,0,1,0,1,35
0,1,1463,1,1,0,0,0
1,1,3011,0,1,0,0,0
1,1,2802,1,1,0,1,161
1,3,2016,1,0,0,1,1353
1,10,430,1,1,0,1,1184
1,1,3146,1,0,0,1,10
1,0,3507,0,0,0,0,0
1,2,1536,0,1,0,1,1500
1,1,3248,0,0,1,1,132
1,1,3095,0,0,0,0,0
0,1,3235,1,1,1,1,110
1,2,1031,0,1,0,1,191
1,3,2201,0,0,0,1,99
1,1,2529,1,0,0,1,35
1,3,3129,0,1,0,1,217
1,2,3283,1,0,0,1,128
1,1,1646,1,0,1,0,0
1,0,3401,0,0,0,0,0
0,3,479,0,0,0,1,459
1,1,1192,1,1,0,1,44
1,1,314,0,1,0,1,149
0,2,506,1,1,0,1,282
1,2,2072,0,0,0,1,105
1,1,2618,1,1,1,1,6
1,1,9,0,1,1,1,196
1,1,3278,1,0,0,1,153
1,1,217,0,0,1,0,0
1,3,1529,0,1,1,1,424
1,3,3583,0,0,0,1,205
1,2,1856,0,0,1,0,0
1,0,2632,0,1,0,0,0
1,2,1415,0,1,1,0,0
1,0,1249,0,0,0,0,0
1,0,3159,1,0,0,0,0
0,2,458,1,1,0,1,114
0,2,864,0,1,0,1,163
1,0,3747,0,0,0,0,0
1,2,3975,1,1,0,1,170
1,2,2044,1,1,1,1,136
1,2,1646,0,1,1,1,83
1,0,1709,0,0,0,0,0
1,1,2404,0,0,0,1,114
1,0,2765,0,0,0,0,0
1,1,906,1,0,1,1,141
1,2,1498,1,0,1,1,40
0,0,2891,0,1,0,0,0
0,2,2744,1,0,0,1,86
1,1,1646,0,1,1,0,0
1,1,1240,0,0,0,0,0
1,0,2802,0,1,0,0,0
1,0,534,0,1,1,0,0
1,2,1346,0,0,1,0,0
1,3,1842,1,1,1,1,169
1,2,1780,0,0,1,0,0
1,2,247,0,0,0,1,324
1,1,2919,0,1,1,0,0
1,0,2735,0,1,0,0,0
1,1,758,0,1,0,1,83
1,4,1122,0,0,0,1,274
0,3,1137,0,0,1,1,287
1,1,644,0,1,1,0,0
0,4,1794,1,1,1,1,259
1,1,3125,1,0,0,1,103
1,1,974,0,0,0,0,0
0,0,3747,0,1,0,0,0
1,2,216,1,0,0,1,134
1,4,1498,0,1,1,1,209
1,3,1739,0,1,0,1,226
1,0,345,1,1,0,0,0
1,2,1801,1,1,0,0,0
1,1,216,1,1,0,0,0
1,2,1130,0,0,0,1,252
0,1,1612,0,0,0,1,43
1,3,1568,1,0,0,1,344
1,1,2102,1,1,0,1,54
1,1,2863,0,0,0,0,0
1,1,535,0,1,1,1,149
1,1,3430,0,0,0,0,0
0,1,1207,0,1,0,0,0
1,1,486,0,1,0,1,30
1,1,3262,1,1,0,1,158
1,1,2249,0,0,0,1,54
0,3,2647,0,1,0,1,1255
1,2,3593,0,1,0,1,98
1,1,1890,0,0,0,1,85
1,1,3306,0,0,0,0,0
1,0,3747,0,0,0,0,0
0,1,4188,1,1,0,1,137
1,1,2772,1,0,0,1,135
1,2,1261,0,0,0,1,44
1,1,827,1,1,0,1,163
1,2,3590,1,0,0,1,116
1,2,1120,1,0,1,1,172
1,3,1570,1,0,0,1,104
1,2,1253,0,1,0,0,0
1,1,2977,0,0,0,1,70
0,2,458,1,0,0,1,271
1,1,1962,1,1,1,0,0
1,1,3255,1,1,0,0,0
0,1,1091,0,0,0,0,0
1,1,1010,0,0,0,0,0
1,1,2991,1,0,1,1,184
1,0,2740,0,0,0,0,0
1,0,2728,1,1,0,0,0
1,1,4065,0,1,0,0,0
1,1,2102,1,0,0,1,161
0,0,220,0,1,0,0,0
1,1,216,0,1,0,0,0
1,2,2950,0,1,0,0,0
1,1,23,0,1,0,0,0
1,1,2999,1,0,0,1,34
1,3,463,1,1,0,1,322
1,1,743,0,0,0,0,0
1,1,700,1,1,1,0,0
1,2,197,1,0,0,0,0
1,3,301,0,0,0,1,1249
1,0,2905,1,0,0,0,0
0,1,665,0,1,1,0,0
1,1,308,0,1,0,1,40
1,0,2735,0,0,0,0,0
1,1,2415,1,1,0,1,35
1,1,113,1,0,0,1,308
1,4,1653,1,0,1,1,192
1,0,3507,0,1,0,0,0
1,2,1708,1,1,0,1,122
1,1,3822,0,1,0,0,0
0,2,1976,0,0,0,1,43
1,5,240,0,0,1,1,588
1,4,2481,1,0,0,1,160
1,0,2877,0,1,0,0,0
1,2,2812,0,0,0,1,183
1,0,1227,0,1,0,0,0
1,3,2052,0,0,0,1,200
1,2,2746,1,0,1,1,182
0,1,2236,0,0,0,0,0
1,1,216,0,1,0,0,0
1,0,1451,0,0,0,0,0
0,0,3353,1,1,0,0,0
1,1,206,0,0,0,0,0
1,2,2962,1,1,0,1,95
1,1,3655,0,1,0,0,0
0,0,3107,0,0,0,0,0
1,1,3549,1,1,0,1,229
1,0,1710,0,1,0,0,0
1,1,196,0,1,0,0,0
1,1,3020,1,0,0,1,129
1,0,3747,0,1,0,0,0
1,0,2767,1,1,0,0,0
0,0,3747,1,0,0,0,0
1,0,2730,0,0,0,0,0
1,3,1592,1,1,1,1,30
1,1,681,1,0,1,0,0
1,2,3718,0,0,0,1,98
1,2,1379,0,0,1,1,63
1,3,148,0,1,1,1,214
1,0,3353,1,1,0,0,0
0,1,206,1,0,0,1,264
1,0,2781,0,0,0,0,0
1,1,216,1,0,0,0,0
0,0,3159,0,1,1,0,0
1,1,1792,1,0,0,1,167
1,1,2845,0,1,0,1,120
1,1,2607,1,0,0,1,6
1,1,118,0,0,0,0,0
1,2,1498,0,1,1,0,0
0,0,3489,0,1,0,0,0
1,1,1008,0,0,0,0,0
0,1,17,1,0,0,1,94
1,2,491,1,1,1,1,139
1,1,2941,1,1,0,0,0
1,1,1536,0,0,0,0,0
0,2,3513,1,1,0,1,219
1,1,1184,0,1,0,1,44
0,2,3636,1,1,0,1,128
1,0,3745,1,0,0,0,0
0,2,1995,1,0,1,1,243
0,1,2102,1,1,0,1,171
1,1,1851,1,1,0,1,30
1,1,3684,0,1,0,0,0
1,1,3027,1,0,0,1,96
0,0,3747,1,0,0,0,0
1,3,2957,0,1,0,1,130
1,1,2918,1,1,0,0,0
1,0,3401,1,0,0,0,0
1,1,2355,0,0,0,0,0
0,1,2220,0,1,0,1,171
0,0,3746,0,1,0,0,0
0,5,519,1,0,0,1,585
1,0,2740,0,1,0,0,0
0,2,2142,0,0,1,1,174
1,1,597,1,0,0,1,240
0,0,3394,1,1,0,0,0
1,1,1618,1,0,1,0,0
1,1,1168,1,0,0,1,40
1,0,3694,1,0,0,0,0
1,5,1374,0,1,0,1,369
1,2,1995,1,0,1,1,117
1,0,3507,0,0,0,0,0
1,1,1415,0,0,1,0,0
1,1,204,0,1,0,0,0
1,1,3201,1,1,0,1,129
1,3,2872,1,0,0,1,122
1,1,1795,0,0,0,1,230
1,1,581,1,0,0,1,331
1,0,3680,0,1,0,0,0
0,2,2459,1,1,0,1,153
1,2,1842,0,0,1,0,0
1,0,3747,0,1,0,0,0
1,5,216,1,1,1,1,123
0,2,2831,1,1,0,1,170
1,1,2417,1,1,0,1,130
1,1,3944,1,1,0,1,128
1,2,1646,1,0,1,1,130
1,1,2564,0,0,0,1,130
1,2,3374,1,0,1,1,128
1,2,3759,0,1,0,0,0
1,3,1134,1,0,0,1,406
1,1,1680,1,1,0,1,116
1,0,1870,0,1,0,0,0
1,3,465,0,1,0,1,133
1,2,3642,0,0,0,1,129
0,3,260,0,0,1,1,135
1,2,3914,0,0,1,1,581
0,2,3521,0,0,0,1,53
1,2,1850,0,0,0,1,35
1,0,181,1,0,0,0,0
1,1,2257,1,0,0,1,91
1,1,2809,0,1,0,0,0
1,2,1842,1,0,1,0,0
1,1,2878,0,0,0,0,0
1,2,2199,1,1,0,1,81
1,1,2445,1,0,1,1,35
1,1,3208,0,0,0,0,0
1,1,2481,1,1,0,1,153
1,1,216,1,0,1,0,0
1,7,216,1,1,1,1,150
1,1,3199,1,0,0,1,159
1,1,2781,1,0,0,1,130
1,1,2229,0,1,0,0,0
0,0,238,1,1,1,0,0
1,0,3398,0,1,0,0,0
1,2,2326,1,1,0,1,161
1,1,3630,0,1,0,0,0
1,1,2751,1,1,0,0,0
1,1,532,0,0,1,0,0
1,1,3548,0,0,0,0,0
0,1,2962,0,0,0,1,136
1,1,90,1,0,1,0,0
1,1,2863,0,1,0,0,0
1,2,162,1,1,0,1,1162
0,0,2257,0,1,0,0,0
1,0,2877,0,0,0,0,0
1,12,520,1,0,0,1,1195
0,1,2878,0,1,0,0,0
1,0,3522,0,1,0,0,0
0,1,1491,0,0,0,1,57
1,2,1837,1,0,1,0,0
1,1,717,1,0,0,1,30
1,3,3740,0,0,0,1,98
1,2,2957,0,1,0,1,129
1,0,3745,0,1,0,0,0
1,2,3213,1,0,1,1,34
1,1,1554,0,0,0,1,277
1,0,1598,0,0,0,0,0
1,1,554,1,0,0,0,0
1,1,3791,1,0,0,0,0
1,0,1709,0,0,0,0,0
1,1,1885,0,1,0,0,0
1,1,4065,1,1,0,1,128
1,2,850,1,1,0,1,210
1,5,15,0,1,0,1,142
1,1,3390,1,1,0,0,0
1,1,2361,0,1,0,0,0
0,1,2704,0,1,0,0,0
1,0,3680,0,0,0,0,0
1,1,120,0,1,0,1,149
1,1,3478,0,0,0,0,0
1,1,582,0,1,0,1,69
1,1,2704,1,1,0,1,8
1,7,1128,1,1,1,1,236
1,2,3944,0,1,1,1,362
0,0,3094,0,1,1,0,0
0,2,114,1,1,0,0,0
1,2,3381,1,0,0,1,98
1,1,3158,0,0,0,1,34
1,1,2759,0,1,0,1,35
1,2,1752,0,1,1,0,0
1,3,792,0,1,0,1,331
1,0,3394,0,1,0,0,0
1,0,4096,0,1,0,0,0
1,1,3327,1,1,1,1,98
1,1,2848,0,0,0,0,0
1,1,331,1,1,0,0,0
0,1,2662,0,0,0,0,0
1,1,1032,1,1,0,0,0
0,1,2466,0,1,0,0,0
1,0,3171,0,1,1,0,0
1,0,2891,1,0,0,0,0
0,2,3157,1,1,0,1,162
1,2,490,1,0,0,1,276
1,2,2012,1,1,1,1,160
0,1,2487,1,0,0,1,163
1,1,3342,0,1,0,1,98
1,1,2787,1,0,0,0,0
1,0,1164,0,1,0,0,0
1,1,2872,0,1,0,0,0
0,1,1091,1,1,0,0,0
1,0,4157,1,0,0,0,0
1,3,2829,0,1,0,1,163
1,2,1346,0,1,1,0,0
0,1,1017,0,0,0,1,197
1,1,3024,0,1,0,0,0
1,1,581,0,1,1,1,203
1,0,2221,0,1,0,0,0
1,1,3397,1,1,0,0,0
1,4,2807,1,0,1,1,239
1,1,3041,1,0,0,1,30
1,0,3423,1,1,0,0,0
1,2,1582,0,1,1,0,0
1,3,441,0,1,0,0,0
1,1,3397,0,0,0,0,0
1,2,2723,0,0,0,1,161
1,1,3397,1,0,0,0,0
0,1,2878,1,1,0,0,0
1,1,2402,0,1,0,1,85
1,1,709,1,0,0,1,160
1,1,1962,0,0,1,0,0
1,1,1673,1,0,0,1,129
1,3,804,1,0,1,0,0
1,1,2379,0,1,0,1,207
1,3,1248,0,0,1,1,202
1,1,3883,1,0,0,1,97
1,3,1809,1,1,1,1,58
1,0,3852,0,1,0,0,0
1,0,136,0,1,0,0,0
1,1,994,0,1,0,0,0
1,5,549,1,1,1,1,484
1,1,2941,0,0,0,1,285
1,1,609,0,1,0,1,162
1,3,2158,1,1,0,1,64
0,0,2768,0,1,0,0,0
0,1,1052,0,1,0,1,170
1,2,2466,1,0,0,1,188
1,0,3558,0,0,0,0,0
1,2,1882,0,0,1,0,0
1,1,2897,1,0,0,0,1
1,2,1563,0,0,0,1,160
1,1,3166,1,0,1,0,0
1,0,1072,0,0,0,0,0
1,1,3650,0,0,0,0,0
1,2,465,1,0,1,1,260
1,1,3496,0,1,0,1,40
0,1,3597,0,1,0,0,0
1,0,3507,0,0,0,0,0
1,2,841,0,1,1,0,0
1,4,1128,0,1,0,1,620
1,2,3382,1,1,0,1,132
1,1,1058,0,0,1,0,0
1,1,582,1,1,0,1,89
1,2,1582,1,0,1,0,0
1,1,2313,0,1,0,1,140
0,1,1437,0,1,0,0,0
1,2,1879,0,1,1,0,0
1,1,4036,0,0,0,1,65
0,1,770,0,1,0,1,43
1,1,869,1,1,0,0,0
0,1,1521,0,0,0,0,0
1,2,1120,1,0,0,1,193
1,2,1498,1,0,1,1,344
0,1,2634,0,1,0,1,116
1,2,1120,0,1,0,1,124
1,1,2452,1,1,0,1,100
1,2,3769,0,0,0,0,0
0,3,1436,1,0,1,1,192
1,2,1625,0,0,0,1,169
1,1,608,0,1,0,0,0
1,0,1112,0,0,0,0,0
1,2,3054,0,1,1,1,99
1,3,1130,0,0,0,1,274
1,3,3583,0,0,0,1,100
1,2,3695,0,1,0,1,129
1,1,1968,0,0,0,0,0
1,1,1233,0,1,0,0,0
1,1,2158,1,0,0,0,0
1,4,567,1,0,1,1,410
1,0,104,0,0,0,0,0
1,2,3660,0,1,0,0,0
1,1,2947,0,1,0,1,230
1,1,4157,1,0,0,1,33
1,2,3436,0,0,0,1,98
0,2,1801,0,0,1,0,0
0,0,3107,1,1,0,0,0
1,0,3201,0,1,1,0,0
1,1,198,1,0,0,0,0
1,0,3746,0,0,0,0,0
1,3,3570,1,0,0,1,98
1,2,3670,1,1,0,1,19
1,1,1240,0,1,0,0,0
1,0,3311,0,1,0,0,0
0,3,1442,0,0,1,1,79
1,0,71,0,0,0,0,0
0,0,653,0,0,0,0,0
1,1,1605,1,1,0,1,85
1,3,1164,1,1,0,1,349
1,1,829,0,1,0,0,0
1,1,2905,0,0,0,0,0
1,1,216,0,1,1,0,0
1,0,2773,1,1,0,0,0
1,0,2735,0,1,0,0,0
1,1,1991,0,0,0,1,103
1,1,3264,0,1,0,1,39
0,2,822,1,0,0,1,71
1,1,1752,0,1,0,1,54
1,2,479,1,1,0,1,204
1,3,2564,0,1,0,1,73
1,1,2058,0,1,1,0,0
1,0,1274,0,1,0,0,0
1,2,1710,0,0,1,1,167
0,2,1463,0,1,1,0,0
0,0,3694,0,0,0,0,0
1,1,2828,0,1,0,1,130
1,2,1043,0,1,0,1,335
1,2,2080,1,1,0,1,130
0,0,3747,1,0,0,0,0
1,0,3746,1,0,0,0,0
1,0,744,0,1,0,0,0
1,2,2656,0,1,0,1,85
1,1,1154,1,1,1,1,44
1,1,2815,0,0,0,0,0
1,2,1758,0,0,1,0,0
1,0,3159,0,0,0,0,0
1,0,3423,0,1,0,0,0
0,1,1319,1,1,0,0,0
1,3,3374,0,1,1,1,163
1,2,744,0,1,1,0,0
1,2,1710,1,1,1,0,0
1,2,539,1,1,0,1,131
1,1,2333,0,1,0,1,161
1,1,2626,1,1,0,1,25
1,1,2375,1,1,0,1,145
1,0,2779,1,1,0,0,0
1,2,2887,0,1,1,1,159
1,2,834,1,1,1,0,0
1,1,2796,0,0,0,0,0
0,1,1464,0,1,0,0,0
0,0,3369,1,0,0,0,0
0,1,2590,1,1,0,1,163
1,1,905,0,1,0,1,81
0,2,1379,1,0,1,0,0
1,0,3394,0,0,0,0,0
0,2,2571,0,0,0,1,174
1,2,841,0,0,1,0,0
1,0,3401,1,0,0,0,0
1,1,3502,0,1,0,0,0
1,1,2417,1,1,0,1,270
1,1,3158,0,1,0,1,34
1,1,2387,0,1,1,0,0
0,1,155,0,1,0,1,164
1,0,3507,0,1,0,0,0
1,0,3746,0,1,0,0,0
1,2,807,1,0,0,1,114
1,0,1890,0,0,0,0,0
1,1,3251,1,1,0,1,15
